totTime, numVirus, numCellInfect, numCellUninfect, numLatentComp, numLatentIncomp
0.000075, 1000, 100, 1000000, 0, 0 
2.139637, 165759, 935, 999197, 2, 28 
2.721904, 319545, 1798, 997932, 2, 46 
3.076425, 473046, 2643, 996871, 2, 69 
3.332735, 624817, 3519, 995758, 2, 89 
3.531485, 782454, 4411, 994441, 5, 117 
3.694189, 939118, 5295, 993345, 5, 143 
3.831611, 1095618, 6149, 992114, 9, 178 
3.951300, 1249873, 7044, 991090, 9, 202 
4.056576, 1405534, 7935, 990061, 11, 230 
4.150866, 1563656, 8838, 988902, 12, 254 
4.236277, 1719689, 9664, 987760, 13, 283 
4.314477, 1872982, 10513, 986584, 15, 310 
4.386506, 2026288, 11366, 985552, 15, 338 
4.453448, 2178484, 12209, 984442, 16, 362 
4.515732, 2332518, 13100, 983261, 16, 387 
4.574210, 2486313, 13912, 982256, 19, 413 
4.628944, 2639955, 14757, 981134, 20, 442 
4.680865, 2790885, 15559, 980011, 21, 476 
4.730048, 2941651, 16379, 978902, 23, 502 
4.776780, 3092322, 17248, 977810, 24, 529 
4.821313, 3243925, 18091, 976689, 24, 555 
4.863769, 3394425, 18936, 975567, 26, 578 
4.904500, 3544864, 19767, 974477, 29, 599 
4.943437, 3697331, 20611, 973428, 29, 620 
4.980864, 3850989, 21468, 972316, 30, 648 
5.016786, 4000566, 22311, 971183, 30, 678 
5.051411, 4152525, 23216, 969997, 30, 699 
5.084727, 4304805, 24068, 968835, 32, 725 
5.116939, 4456964, 24904, 967690, 33, 755 
5.148018, 4610005, 25741, 966617, 33, 767 
5.178052, 4761072, 26627, 965492, 34, 788 
5.207186, 4914187, 27467, 964426, 34, 810 
5.235471, 5065678, 28249, 963421, 39, 837 
5.262944, 5216338, 29004, 962406, 42, 867 
5.289729, 5366240, 29857, 961332, 42, 895 
5.315700, 5517187, 30716, 960198, 44, 915 
5.340994, 5667677, 31500, 959217, 47, 940 
5.365603, 5818821, 32317, 958133, 48, 959 
5.389595, 5968297, 33169, 957069, 49, 977 
5.413033, 6118744, 34025, 955951, 51, 998 
5.435865, 6267931, 34909, 954807, 51, 1018 
5.458165, 6417639, 35653, 953836, 51, 1045 
5.479983, 6567439, 36481, 952694, 54, 1076 
5.501232, 6716532, 37391, 951547, 54, 1108 
5.522047, 6866520, 38252, 950403, 54, 1129 
5.542390, 7017364, 39104, 949303, 55, 1157 
5.562316, 7167885, 39922, 948239, 58, 1180 
5.581863, 7319351, 40699, 947217, 58, 1213 
5.601003, 7468187, 41521, 946125, 59, 1243 
5.619736, 7616041, 42370, 945016, 62, 1272 
5.638140, 7766400, 43172, 943970, 63, 1301 
5.656167, 7916045, 43966, 942946, 63, 1323 
5.673840, 8064461, 44790, 941854, 65, 1340 
5.691242, 8212821, 45628, 940778, 65, 1361 
5.708328, 8360828, 46468, 939732, 66, 1380 
5.725106, 8510052, 47290, 938672, 69, 1411 
5.741567, 8658969, 48119, 937610, 71, 1429 
5.757747, 8809599, 48973, 936542, 73, 1455 
5.773652, 8959707, 49753, 935508, 74, 1473 
5.789334, 9107545, 50586, 934418, 75, 1495 
5.804749, 9257700, 51359, 933318, 75, 1523 
5.819924, 9405218, 52151, 932270, 77, 1551 
5.834882, 9552418, 52937, 931241, 80, 1571 
5.849596, 9700430, 53714, 930198, 83, 1599 
5.864071, 9849398, 54556, 929074, 85, 1626 
5.878362, 9997982, 55331, 928042, 87, 1650 
5.892438, 10145294, 56132, 926997, 89, 1673 
5.906295, 10292362, 56941, 925918, 89, 1696 
5.919965, 10440791, 57730, 924857, 89, 1714 
5.933458, 10588091, 58497, 923857, 91, 1732 
